SEXO;IDADE;TAMANHO DA FAMÍLIA;MORA COM A FAMÍLIA;NÍVEL ESCOLAR MÃE;NÍVEL ESCOLAR PAI;TRABALHO MÃE;TRABALHO PAI;TEMPO ESTUDO SEMANAL;REPROVAÇÕES;SUPORTE EDUCACIONAL ESCOLAR;SUPORTE EDUCACIONAL FAMILIAR;REALIZA ATIVIDADE EXTRA CURRICULAR;VISA EDUCAÇÃO SUPERIOR;POSSUI INTERNET EM CASA;TEM ALGUM RELACIONAMENTO AMOROSO;QUALIDADE RELACIONAMENTO FAMILIAR;TEMPO LIVRE;SAIR C/AMIGOS;CONSUMO ALCOOL DIA SEMANA;CONSUMO ALCOOL FIM SEMANA;CONDIÇÃO DE SAÚDE;FALTAS ;FALTAS CONCEITO;G1;G2;G3;MEDIA  NOTA;CONCEITO MEDIA NOTA;DESEMEPENHO RUIM
M;15;LE3;Não;Superior;Superior;Professor;Professor;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Não;Excelente;Altíssimo;Regular;Pouquíssimo;Pouquíssimo;Boa;4;BAIXO;13;14;14;13,66666667;B;NÃO
F;16;GT3;Sim;Médio;Médio;Servidor;Outros;Médio;Não;Sim;Sim;Sim;Sim;Sim;Não;Bom;Pouquíssimo;Pouco;Pouquíssimo;Pouquíssimo;Ruim;4;BAIXO;11;11;11;11;B;NÃO
F;16;GT3;Sim;Fundamental;Fundamental;Lar;Outros;Baixo;Poucas;Sim;Não;Sim;Sim;Sim;Não;Regular;Pouquíssimo;Pouco;Pouquíssimo;Pouquíssimo;Excelente;12;ALTO;8;10;10;9,333333333;C;SIM
M;15;LE3;Sim;Superior;Fundamental;Professor;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Regular;Altíssimo;Pouco;Pouquíssimo;Pouquíssimo;Regular;10;ALTO;18;17;18;17,66666667;A;NÃO
M;15;GT3;Sim;Fundamental;Primário;Saúde;Servidor;Baixo;Não;Não;Não;Sim;Sim;Sim;Sim;Excelente;Alto;Pouco;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;10;9;10;9,666666667;C;SIM
M;16;GT3;Sim;Superior;Superior;Professor;Professor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Alto;Alto;Pouquíssimo;Pouco;Excelente;6;MODERADA;16;14;14;14,66666667;B;NÃO
M;15;GT3;Sim;Superior;Superior;Outros;Professor;Baixo;Não;Não;Sim;Sim;Sim;Não;Não;Bom;Alto;Regular;Pouquíssimo;Pouquíssimo;Ruim;4;BAIXO;16;15;16;15,66666667;A;NÃO
M;16;GT3;Sim;Médio;Médio;Outros;Servidor;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Não;Excelente;Alto;Pouco;Pouquíssimo;Pouquíssimo;Excelente;6;MODERADA;14;14;15;14,33333333;B;NÃO
M;17;GT3;Sim;Primário;Médio;Outros;Outros;Baixo;Poucas;Não;Sim;Sim;Sim;Sim;Não;Excelente;Pouco;Alto;Pouquíssimo;Alto;Excelente;14;ALTÍSSIMO;12;11;11;11,33333333;B;NÃO
M;15;GT3;Sim;Médio;Superior;Outros;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Regular;Alto;Regular;Pouquíssimo;Pouco;Boa;2;BAIXO;14;13;14;13,66666667;B;NÃO
F;15;GT3;Sim;Primário;Fundamental;Lar;Servidor;Baixo;Não;Não;Não;Não;Sim;Sim;Não;Regular;Pouco;Regular;Pouquíssimo;Pouco;Péssima;0;BAIXO;14;14;14;14;B;NÃO
M;15;GT3;Sim;Fundamental;Fundamental;Servidor;Servidor;Alto;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Altíssimo;Alto;Pouquíssimo;Pouco;Excelente;6;MODERADA;14;13;13;13,33333333;B;NÃO
F;16;LE3;Sim;Fundamental;Superior;Outros;Saúde;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Pouco;Pouco;Pouquíssimo;Pouco;Excelente;2;BAIXO;14;12;13;13;B;NÃO
M;16;GT3;Sim;Superior;Superior;Saúde;Outros;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Não;Regular;Alto;Alto;Pouquíssimo;Alto;Excelente;4;BAIXO;12;13;13;12,66666667;B;NÃO
F;16;GT3;Sim;Fundamental;Fundamental;Outros;Outros;Baixo;Não;Não;Não;Não;Sim;Sim;Sim;Excelente;Alto;Alto;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;12;11;11;11,33333333;B;NÃO
M;15;GT3;Sim;Médio;Superior;Servidor;Servidor;Baixíssimo;Não;Sim;Não;Não;Sim;Sim;Não;Excelente;Altíssimo;Altíssimo;Regular;Pouco;Excelente;2;BAIXO;9;9;9;9;C;SIM
F;15;LE3;Não;Médio;Superior;Outros;Outros;Baixo;Não;Sim;Não;Sim;Sim;Sim;Sim;Excelente;Regular;Pouco;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;10;11;11;10,66666667;B;NÃO
F;19;GT3;Sim;Inexistente;Primário;Lar;Outros;Baixo;Poucas;Não;Sim;Não;Não;Não;Não;Regular;Alto;Pouco;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;9;10;11;10;B;NÃO
M;16;GT3;Sim;Superior;Superior;Professor;Professor;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Não;Regular;Altíssimo;Altíssimo;Pouco;Altíssimo;Boa;8;MODERADA;14;14;15;14,33333333;B;NÃO
M;16;GT3;Sim;Fundamental;Médio;Outros;Outros;Médio;Não;Não;Sim;Não;Sim;Sim;Sim;Regular;Pouco;Regular;Pouco;Pouco;Péssima;4;BAIXO;13;12;13;12,66666667;B;NÃO
F;15;GT3;Sim;Médio;Superior;Servidor;Professor;Médio;Não;Não;Sim;Não;Sim;Sim;Sim;Bom;Pouco;Pouco;Pouco;Pouco;Excelente;0;BAIXO;10;11;12;11;B;NÃO
F;18;GT3;Sim;Fundamental;Primário;Servidor;Outros;Baixo;Muitas;Não;Sim;Sim;Não;Sim;Sim;Excelente;Alto;Altíssimo;Pouquíssimo;Regular;Excelente;10;ALTO;10;9;8;9;C;SIM
F;17;LE3;Não;Fundamental;Primário;Outros;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Regular;Pouco;Pouco;Pouquíssimo;Pouco;Excelente;8;MODERADA;11;10;11;10,66666667;B;NÃO
F;15;GT3;Sim;Primário;Primário;Lar;Outros;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Regular;Regular;Pouquíssimo;Pouco;Boa;6;MODERADA;11;12;13;12;B;NÃO
F;17;LE3;Sim;Fundamental;Fundamental;Outros;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Sim;Regular;Alto;Alto;Pouquíssimo;Regular;Excelente;2;BAIXO;13;12;12;12,33333333;B;NÃO
F;16;GT3;Não;Médio;Superior;Servidor;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Regular;Pouco;Pouquíssimo;Pouquíssimo;Alto;Excelente;12;ALTO;15;13;14;14;B;NÃO
M;16;GT3;Sim;Fundamental;Primário;Lar;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Não;Não;Regular;Pouco;Pouquíssimo;Pouquíssimo;Pouquíssimo;Ruim;4;BAIXO;9;9;11;9,666666667;C;SIM
F;16;GT3;Não;Fundamental;Fundamental;Outros;Outros;Baixíssimo;Poucas;Não;Não;Não;Sim;Não;Não;Excelente;Regular;Alto;Pouquíssimo;Pouquíssimo;Excelente;12;ALTO;13;11;11;11,66666667;B;NÃO
M;15;GT3;Sim;Médio;Superior;Lar;Professor;Baixo;Não;Não;Sim;Não;Sim;Não;Sim;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;12;11;11;11,33333333;B;NÃO
F;15;GT3;Sim;Superior;Superior;Servidor;Lar;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Regular;Regular;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;13;14;15;14;B;NÃO
M;17;GT3;Sim;Médio;Superior;Lar;Outros;Baixo;Não;Não;Não;Não;Sim;Não;Não;Excelente;Alto;Altíssimo;Pouco;Alto;Excelente;2;BAIXO;10;9;10;9,666666667;C;SIM
F;16;GT3;Sim;Primário;Primário;Lar;Outros;Baixo;Não;Não;Sim;Não;Sim;Não;Não;Excelente;Pouquíssimo;Regular;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;14;13;13;13,33333333;B;NÃO
M;18;LE3;Sim;Médio;Primário;Servidor;Servidor;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Sim;Regular;Regular;Alto;Alto;Altíssimo;Boa;2;BAIXO;11;11;12;11,33333333;B;NÃO
F;18;GT3;Não;Médio;Fundamental;Outros;Servidor;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Regular;Regular;Altíssimo;Pouquíssimo;Excelente;10;ALTO;12;11;11;11,33333333;B;NÃO
F;16;GT3;Sim;Primário;Primário;Outros;Servidor;Baixíssimo;Não;Não;Sim;Sim;Sim;Não;Sim;Regular;Regular;Regular;Pouquíssimo;Pouco;Péssima;8;MODERADA;12;11;11;11,33333333;B;NÃO
F;16;GT3;Não;Médio;Médio;Outros;Outros;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;9;9;10;9,333333333;C;SIM
M;16;LE3;Sim;Primário;Primário;Servidor;Outros;Baixo;Poucas;Não;Não;Não;Sim;Não;Sim;Bom;Alto;Alto;Pouquíssimo;Regular;Excelente;0;BAIXO;10;10;10;10;B;NÃO
F;15;GT3;Sim;Superior;Superior;Professor;Professor;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;6;MODERADA;13;14;14;13,66666667;B;NÃO
F;15;GT3;Sim;Primário;Primário;Outros;Outros;Baixíssimo;Poucas;Não;Não;Sim;Sim;Sim;Sim;Excelente;Altíssimo;Altíssimo;Pouquíssimo;Pouquíssimo;Péssima;2;BAIXO;8;9;9;8,666666667;C;SIM
M;15;GT3;Sim;Superior;Médio;Professor;Servidor;Alto;Não;Sim;Sim;Não;Sim;Sim;Não;Ruim;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Regular;6;MODERADA;9;11;11;10,33333333;B;NÃO
F;15;GT3;Não;Médio;Médio;Servidor;Servidor;Baixo;Não;Não;Não;Não;Sim;Não;Sim;Péssimo;Regular;Pouco;Pouco;Regular;Péssima;24;ALTÍSSIMO;9;8;9;8,666666667;C;SIM
M;16;GT3;Sim;Superior;Superior;Servidor;Servidor;Médio;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Regular;Excelente;0;BAIXO;15;13;13;13,66666667;B;NÃO
M;16;LE3;Sim;Fundamental;Fundamental;Servidor;Servidor;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Não;Ruim;Regular;Regular;Pouco;Pouco;Ruim;4;BAIXO;12;11;11;11,33333333;B;NÃO
F;15;GT3;Sim;Superior;Superior;Professor;Servidor;Médio;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;13;13;13;13;B;NÃO
F;16;LE3;Sim;Primário;Primário;Lar;Lar;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Regular;Alto;Alto;Regular;Regular;Péssima;4;BAIXO;10;11;11;10,66666667;B;NÃO
M;17;GT3;Sim;Fundamental;Primário;Outros;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Alto;Altíssimo;Pouquíssimo;Pouco;Excelente;22;ALTÍSSIMO;9;7;6;7,333333333;C;SIM
F;15;GT3;Sim;Primário;Primário;Outros;Servidor;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Alto;Pouco;Pouquíssimo;Pouco;Excelente;0;BAIXO;12;12;12;12;B;NÃO
F;15;LE3;Não;Fundamental;Primário;Lar;Outros;Baixíssimo;Não;Não;Sim;Sim;Não;Sim;Sim;Bom;Alto;Pouco;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;11;10;10;10,33333333;B;NÃO
F;15;GT3;Sim;Médio;Fundamental;Saúde;Servidor;Baixo;Poucas;Não;Sim;Não;Sim;Sim;Não;Regular;Regular;Pouco;Pouquíssimo;Pouquíssimo;Regular;2;BAIXO;11;11;11;11;B;NÃO
F;15;GT3;Sim;Primário;Fundamental;Lar;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;6;MODERADA;13;12;13;12,66666667;B;NÃO
F;15;GT3;Sim;Primário;Fundamental;Lar;Servidor;Baixo;Não;Não;Não;Não;Sim;Não;Sim;Ruim;Regular;Alto;Pouco;Alto;Péssima;6;MODERADA;11;11;11;11;B;NÃO
M;16;GT3;Sim;Superior;Superior;Professor;Professor;Baixíssimo;Não;Não;Sim;Não;Não;Sim;Sim;Regular;Regular;Pouco;Pouco;Pouquíssimo;Excelente;16;ALTÍSSIMO;9;9;8;8,666666667;C;SIM
M;15;LE3;Não;Fundamental;Primário;Servidor;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Bom;Altíssimo;Altíssimo;Pouco;Altíssimo;Excelente;0;BAIXO;12;11;11;11,33333333;B;NÃO
M;18;LE3;Sim;Primário;Primário;Outros;Outros;Baixíssimo;Poucas;Não;Não;Não;Não;Sim;Sim;Ruim;Regular;Altíssimo;Pouco;Altíssimo;Boa;0;BAIXO;11;9;0;6,666666667;C;SIM
M;16;LE3;Sim;Fundamental;Primário;Lar;Outros;Baixíssimo;Poucas;Não;Não;Sim;Sim;Não;Sim;Bom;Alto;Alto;Regular;Altíssimo;Excelente;6;MODERADA;9;10;10;9,666666667;C;SIM
F;15;GT3;Sim;Médio;Médio;Servidor;Servidor;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Pouco;Pouquíssimo;Pouco;Regular;Regular;2;BAIXO;13;13;13;13;B;NÃO
M;19;GT3;Sim;Médio;Fundamental;Servidor;Lar;Baixíssimo;Não;Não;Sim;Não;Não;Sim;Sim;Bom;Altíssimo;Alto;Pouquíssimo;Pouquíssimo;Boa;6;MODERADA;11;9;11;10,33333333;B;NÃO
F;17;GT3;Sim;Superior;Superior;Outros;Professor;Baixíssimo;Não;Sim;Sim;Não;Sim;Não;Sim;Bom;Pouco;Pouquíssimo;Pouquíssimo;Pouquíssimo;Boa;0;BAIXO;13;13;13;13;B;NÃO
M;15;GT3;Sim;Fundamental;Médio;Lar;Servidor;Baixo;Não;Sim;Não;Sim;Sim;Não;Não;Bom;Alto;Alto;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;7;8;8;7,666666667;C;SIM
M;17;LE3;Sim;Primário;Fundamental;Outros;Outros;Baixíssimo;Muitas;Não;Não;Não;Sim;Não;Não;Ruim;Pouco;Pouco;Regular;Regular;Excelente;14;ALTÍSSIMO;9;8;10;9;C;SIM
F;18;GT3;Sim;Primário;Primário;Lar;Outros;Baixíssimo;Muitas;Não;Sim;Sim;Sim;Não;Não;Excelente;Pouco;Altíssimo;Pouquíssimo;Altíssimo;Boa;6;MODERADA;11;10;11;10,66666667;B;NÃO
M;16;GT3;Sim;Fundamental;Fundamental;Lar;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Não;Não;Bom;Pouco;Pouco;Pouquíssimo;Pouco;Regular;4;BAIXO;12;10;11;11;B;NÃO
M;16;GT3;Sim;Médio;Médio;Outros;Servidor;Baixo;Poucas;Não;Sim;Não;Sim;Sim;Sim;Bom;Altíssimo;Altíssimo;Alto;Alto;Excelente;0;BAIXO;10;10;1;7;C;SIM
M;16;LE3;Sim;Primário;Fundamental;Saúde;Servidor;Baixíssimo;Poucas;Não;Não;Não;Sim;Sim;Não;Bom;Alto;Altíssimo;Regular;Altíssimo;Excelente;0;BAIXO;9;8;10;9;C;SIM
M;17;LE3;Sim;Fundamental;Primário;Lar;Outros;Baixíssimo;Poucas;Não;Não;Sim;Não;Sim;Sim;Regular;Regular;Pouco;Pouco;Pouco;Excelente;8;MODERADA;8;8;9;8,333333333;C;SIM
M;17;GT3;Sim;Médio;Fundamental;Outros;Outros;Baixo;Poucas;Sim;Sim;Não;Sim;Sim;Sim;Bom;Alto;Alto;Pouquíssimo;Alto;Regular;4;BAIXO;7;6;8;7;C;SIM
M;15;LE3;Sim;Primário;Fundamental;Outros;Outros;Baixíssimo;Não;Não;Não;Sim;Sim;Não;Não;Bom;Alto;Alto;Pouco;Alto;Excelente;2;BAIXO;8;9;10;9;C;SIM
M;16;GT3;Sim;Primário;Médio;Lar;Servidor;Baixíssimo;Poucas;Não;Não;Não;Não;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Alto;Ruim;2;BAIXO;9;8;8;8,333333333;C;SIM
M;17;LE3;Sim;Primário;Primário;Outros;Servidor;Baixo;Não;Não;Não;Sim;Não;Não;Sim;Excelente;Regular;Altíssimo;Pouquíssimo;Altíssimo;Excelente;0;BAIXO;8;8;8;8;C;SIM
M;17;GT3;Sim;Médio;Fundamental;Servidor;Servidor;Baixíssimo;Muitas;Não;Sim;Sim;Não;Não;Não;Bom;Altíssimo;Pouco;Pouquíssimo;Pouquíssimo;Ruim;10;ALTO;8;7;8;7,666666667;C;SIM
M;16;GT3;Sim;Fundamental;Fundamental;Outros;Outros;Baixo;Não;Não;Não;Não;Não;Sim;Não;Bom;Regular;Altíssimo;Pouco;Alto;Boa;0;BAIXO;9;10;11;10;B;NÃO
F;16;GT3;Sim;Superior;Fundamental;Saúde;Servidor;Baixo;Não;Não;Não;Não;Sim;Sim;Sim;Bom;Pouco;Regular;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;17;17;18;17,33333333;A;NÃO
F;16;GT3;Sim;Fundamental;Fundamental;Outros;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Pouquíssimo;Altíssimo;Pouquíssimo;Pouquíssimo;Boa;0;BAIXO;12;12;13;12,33333333;B;NÃO
F;16;GT3;Sim;Superior;Superior;Saúde;Saúde;Baixo;Não;Não;Sim;Não;Sim;Sim;Sim;Bom;Alto;Pouco;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;16;16;17;16,33333333;A;NÃO
M;16;GT3;Sim;Médio;Superior;Outros;Outros;Baixíssimo;Poucas;Não;Sim;Sim;Sim;Sim;Não;Regular;Alto;Altíssimo;Pouco;Alto;Ruim;4;BAIXO;9;9;10;9,333333333;C;SIM
M;16;GT3;Sim;Primário;Inexistente;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;16;17;18;17;A;NÃO
M;17;LE3;Sim;Superior;Superior;Professor;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Alto;Alto;Pouquíssimo;Regular;Excelente;0;BAIXO;11;9;10;10;B;NÃO
F;16;GT3;Sim;Primário;Médio;Lar;Servidor;Baixo;Não;Não;Não;Sim;Sim;Sim;Sim;Bom;Regular;Altíssimo;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;14;13;13;13,33333333;B;NÃO
F;16;LE3;Sim;Médio;Médio;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Alto;Altíssimo;Pouquíssimo;Pouquíssimo;Boa;0;BAIXO;14;14;15;14,33333333;B;NÃO
M;17;LE3;Sim;Superior;Médio;Professor;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Alto;Alto;Alto;Alto;Boa;0;BAIXO;10;11;11;10,66666667;B;NÃO
F;16;GT3;Sim;Fundamental;Fundamental;Servidor;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Regular;Alto;Alto;Pouquíssimo;Alto;Excelente;0;BAIXO;13;12;14;13;B;NÃO
M;17;GT3;Sim;Médio;Médio;Outros;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Regular;Alto;Pouquíssimo;Alto;Boa;4;BAIXO;11;9;10;10;B;NÃO
M;16;GT3;Sim;Superior;Fundamental;Professor;Servidor;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Regular;Regular;Regular;Alto;Regular;8;MODERADA;10;9;11;10;B;NÃO
M;17;GT3;Sim;Superior;Médio;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Excelente;Pouco;Regular;Pouquíssimo;Pouquíssimo;Ruim;4;BAIXO;11;11;13;11,66666667;B;NÃO
M;16;GT3;Sim;Superior;Médio;Professor;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Regular;Alto;Regular;Pouco;Regular;Regular;4;BAIXO;11;10;11;10,66666667;B;NÃO
M;16;GT3;Sim;Médio;Médio;Servidor;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Sim;Bom;Pouco;Regular;Pouquíssimo;Pouco;Regular;0;BAIXO;11;12;13;12;B;NÃO
F;17;GT3;Sim;Fundamental;Superior;Servidor;Servidor;Baixo;Não;Não;Sim;Sim;Sim;Não;Não;Excelente;Alto;Pouco;Pouco;Regular;Excelente;0;BAIXO;17;18;17;17,33333333;A;NÃO
F;17;LE3;Sim;Médio;Médio;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Excelente;Regular;Regular;Pouco;Regular;Péssima;32;ALTÍSSIMO;14;13;14;13,66666667;B;NÃO
F;16;GT3;Sim;Médio;Fundamental;Outros;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Péssimo;Pouco;Pouco;Pouquíssimo;Pouco;Péssima;8;MODERADA;14;15;16;15;A;NÃO
M;17;GT3;Sim;Médio;Médio;Servidor;Servidor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Regular;Alto;Pouco;Regular;Boa;6;MODERADA;11;13;14;12,66666667;B;NÃO
M;16;GT3;Sim;Primário;Fundamental;Servidor;Servidor;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Sim;Regular;Regular;Regular;Pouquíssimo;Pouco;Regular;0;BAIXO;10;9;11;10;B;NÃO
M;16;LE3;Sim;Fundamental;Primário;Outros;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Sim;Bom;Pouco;Regular;Pouquíssimo;Pouco;Excelente;0;BAIXO;13;14;16;14,33333333;B;NÃO
F;17;GT3;Não;Médio;Médio;Saúde;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Sim;Regular;Regular;Regular;Pouquíssimo;Regular;Regular;10;ALTO;12;13;14;13;B;NÃO
M;17;GT3;Sim;Primário;Fundamental;Lar;Outros;Baixo;Não;Não;Não;Não;Sim;Não;Não;Regular;Pouquíssimo;Regular;Pouquíssimo;Altíssimo;Regular;6;MODERADA;9;9;10;9,333333333;C;SIM
F;16;GT3;Sim;Fundamental;Médio;Servidor;Servidor;Baixo;Não;Não;Não;Não;Sim;Sim;Não;Bom;Regular;Regular;Pouquíssimo;Pouquíssimo;Ruim;6;MODERADA;12;12;13;12,33333333;B;NÃO
F;17;GT3;Sim;Primário;Primário;Lar;Servidor;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;12;11;12;11,66666667;B;NÃO
M;17;GT3;Sim;Primário;Fundamental;Lar;Servidor;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Alto;Alto;Alto;Altíssimo;Excelente;16;ALTÍSSIMO;10;11;12;11;B;NÃO
M;16;GT3;Sim;Médio;Médio;Servidor;Servidor;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Pouco;Regular;Alto;Excelente;0;BAIXO;11;10;10;10,33333333;B;NÃO
M;16;GT3;Sim;Fundamental;Médio;Outros;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;13;12;12;12,33333333;B;NÃO
F;17;LE3;Sim;Fundamental;Superior;Servidor;Servidor;Baixo;Não;Não;Não;Sim;Sim;Sim;Sim;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;8;MODERADA;14;15;16;15;A;NÃO
M;17;GT3;Sim;Superior;Superior;Servidor;Professor;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Excelente;Pouco;Regular;Pouquíssimo;Pouco;Excelente;4;BAIXO;13;13;14;13,33333333;B;NÃO
M;16;LE3;Sim;Médio;Médio;Professor;Outros;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Não;Regular;Regular;Alto;Regular;Altíssimo;Regular;16;ALTÍSSIMO;10;11;12;11;B;NÃO
F;17;GT3;Sim;Superior;Superior;Servidor;Professor;Baixíssimo;Poucas;Não;Sim;Não;Sim;Sim;Não;Bom;Pouco;Alto;Pouco;Regular;Ruim;30;ALTÍSSIMO;14;15;16;15;A;NÃO
F;16;LE3;Sim;Superior;Superior;Professor;Professor;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Altíssimo;Pouco;Pouquíssimo;Pouco;Regular;0;BAIXO;11;10;11;10,66666667;B;NÃO
F;16;GT3;Sim;Superior;Médio;Saúde;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Altíssimo;Pouquíssimo;Altíssimo;Ruim;2;BAIXO;14;14;15;14,33333333;B;NÃO
F;16;GT3;Sim;Fundamental;Médio;Outros;Outros;Baixo;Não;Sim;Sim;Sim;Sim;Não;Não;Bom;Alto;Regular;Pouquíssimo;Regular;Boa;4;BAIXO;11;12;12;11,66666667;B;NÃO
F;17;GT3;Sim;Primário;Primário;Outros;Outros;Baixo;Não;Não;Sim;Não;Sim;Não;Não;Bom;Alto;Alto;Pouquíssimo;Regular;Péssima;0;BAIXO;14;15;15;14,66666667;B;NÃO
F;17;GT3;Sim;Fundamental;Fundamental;Outros;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Regular;Pouco;Pouquíssimo;Pouco;Regular;21;ALTÍSSIMO;13;13;13;13;B;NÃO
F;16;GT3;Sim;Fundamental;Fundamental;Servidor;Servidor;Alto;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Regular;Altíssimo;Pouquíssimo;Pouquíssimo;Excelente;6;MODERADA;13;13;13;13;B;NÃO
F;17;GT3;Sim;Médio;Superior;Lar;Servidor;Médio;Poucas;Não;Sim;Não;Sim;Sim;Sim;Bom;Alto;Regular;Regular;Alto;Excelente;14;ALTÍSSIMO;8;9;8;8,333333333;C;SIM
F;16;GT3;Não;Médio;Primário;Servidor;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Ruim;Regular;Regular;Pouco;Pouco;Boa;2;BAIXO;11;11;12;11,33333333;B;NÃO
F;16;GT3;Sim;Superior;Médio;Professor;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Sim;Péssimo;Regular;Pouco;Pouquíssimo;Pouquíssimo;Péssima;4;BAIXO;14;15;15;14,66666667;B;NÃO
F;16;GT3;Sim;Primário;Primário;Lar;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Não;Não;Bom;Regular;Pouco;Pouquíssimo;Alto;Excelente;2;BAIXO;12;13;13;12,66666667;B;NÃO
F;17;GT3;Sim;Superior;Médio;Professor;Outros;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Alto;Pouco;Pouquíssimo;Pouquíssimo;Boa;0;BAIXO;11;12;12;11,66666667;B;NÃO
