@RELATION BASE

@ATTRIBUTE sexo {F,M}
@ATTRIBUTE tamanhodafamilia {GT3,LE3}
@ATTRIBUTE moracomafamilia {Nao,Sim}
@ATTRIBUTE nivelescolarmae {Fundamental,Inexistente,Medio,Primario,Superior}
@ATTRIBUTE nivelescolarpai {Fundamental,Inexistente,Medio,Primario,Superior}
@ATTRIBUTE trabalhomae {Lar,Outros,Professor,SaUde,Servidor}
@ATTRIBUTE trabalhopai {Lar,Outros,Professor,SaUde,Servidor}
@ATTRIBUTE tempoestudosemanal {Alto,Baixo,Baixissimo,Medio}
@ATTRIBUTE reprovacoes {Muitas,Nao,Poucas}
@ATTRIBUTE suporteeducacionalescolar {Nao,Sim}
@ATTRIBUTE suporteeducacionalfamiliar {Nao,Sim}
@ATTRIBUTE realizaatividadeextracurricular {Nao,Sim}
@ATTRIBUTE visaeducacaosuperior {Nao,Sim}
@ATTRIBUTE possuiinternetemcasa {Nao,Sim}
@ATTRIBUTE temalgumrelacionamentoamoroso {Nao,Sim}
@ATTRIBUTE qualidaderelacionamentofamiliar {Bom,Excelente,Pessimo,Regular,Ruim}
@ATTRIBUTE tempolivre {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE saircamigos {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE consumoalcooldiasemana {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE consumoalcoolfimsemana {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE condicaodesaUde {Boa,Excelente,Pessima,Regular,Ruim}
@ATTRIBUTE faltasconceito {ALTO,ALTiSSIMO,BAIXO,MODERADA}
@ATTRIBUTE desemepenhoruim {Nao,SIM}

@DATA
M,GT3,Sim,Primario,Medio,Outros,Outros,Baixo,Poucas,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Pouco,Alto,Pouquissimo,Alto,Excelente,ALTiSSIMO,Nao
M,GT3,Sim,Medio,Superior,Outros,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Regular,Alto,Regular,Pouquissimo,Pouco,Boa,BAIXO,Nao
F,GT3,Sim,Primario,Fundamental,Lar,Servidor,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Regular,Pouco,Regular,Pouquissimo,Pouco,Pessima,BAIXO,Nao
M,GT3,Sim,Fundamental,Fundamental,Servidor,Servidor,Alto,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Altissimo,Alto,Pouquissimo,Pouco,Excelente,MODERADA,Nao
F,LE3,Sim,Fundamental,Superior,Outros,SaUde,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Pouco,Pouco,Pouquissimo,Pouco,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Superior,SaUde,Outros,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Regular,Alto,Alto,Pouquissimo,Alto,Excelente,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Sim,Excelente,Alto,Alto,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Medio,Superior,Servidor,Servidor,Baixissimo,Nao,Sim,Nao,Nao,Sim,Sim,Nao,Excelente,Altissimo,Altissimo,Regular,Pouco,Excelente,BAIXO,SIM
F,LE3,Nao,Medio,Superior,Outros,Outros,Baixo,Nao,Sim,Nao,Sim,Sim,Sim,Sim,Excelente,Regular,Pouco,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
F,GT3,Sim,Inexistente,Primario,Lar,Outros,Baixo,Poucas,Nao,Sim,Nao,Nao,Nao,Nao,Regular,Alto,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Superior,Professor,Professor,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Regular,Altissimo,Altissimo,Pouco,Altissimo,Boa,MODERADA,Nao
M,GT3,Sim,Fundamental,Medio,Outros,Outros,Medio,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Regular,Pouco,Regular,Pouco,Pouco,Pessima,BAIXO,Nao
F,GT3,Sim,Medio,Superior,Servidor,Professor,Medio,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Bom,Pouco,Pouco,Pouco,Pouco,Excelente,BAIXO,Nao
F,GT3,Sim,Fundamental,Primario,Servidor,Outros,Baixo,Muitas,Nao,Sim,Sim,Nao,Sim,Sim,Excelente,Alto,Altissimo,Pouquissimo,Regular,Excelente,ALTO,SIM
F,LE3,Nao,Fundamental,Primario,Outros,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Regular,Pouco,Pouco,Pouquissimo,Pouco,Excelente,MODERADA,Nao
F,GT3,Sim,Primario,Primario,Lar,Outros,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Regular,Pouquissimo,Pouco,Boa,MODERADA,Nao
F,LE3,Sim,Fundamental,Fundamental,Outros,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Regular,Alto,Alto,Pouquissimo,Regular,Excelente,BAIXO,Nao
F,GT3,Nao,Medio,Superior,Servidor,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Regular,Pouco,Pouquissimo,Pouquissimo,Alto,Excelente,ALTO,Nao
M,GT3,Sim,Fundamental,Primario,Lar,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Regular,Pouco,Pouquissimo,Pouquissimo,Pouquissimo,Ruim,BAIXO,SIM
F,GT3,Nao,Fundamental,Fundamental,Outros,Outros,Baixissimo,Poucas,Nao,Nao,Nao,Sim,Nao,Nao,Excelente,Regular,Alto,Pouquissimo,Pouquissimo,Excelente,ALTO,Nao
M,GT3,Sim,Medio,Superior,Lar,Professor,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Sim,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Superior,Servidor,Lar,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Medio,Superior,Lar,Outros,Baixo,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Excelente,Alto,Altissimo,Pouco,Alto,Excelente,BAIXO,SIM
F,GT3,Sim,Primario,Primario,Lar,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Excelente,Pouquissimo,Regular,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
M,LE3,Sim,Medio,Primario,Servidor,Servidor,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Regular,Regular,Alto,Alto,Altissimo,Boa,BAIXO,Nao
F,GT3,Nao,Medio,Fundamental,Outros,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Regular,Altissimo,Pouquissimo,Excelente,ALTO,Nao
F,GT3,Sim,Primario,Primario,Outros,Servidor,Baixissimo,Nao,Nao,Sim,Sim,Sim,Nao,Sim,Regular,Regular,Regular,Pouquissimo,Pouco,Pessima,MODERADA,Nao
F,GT3,Nao,Medio,Medio,Outros,Outros,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,SIM
M,LE3,Sim,Primario,Primario,Servidor,Outros,Baixo,Poucas,Nao,Nao,Nao,Sim,Nao,Sim,Bom,Alto,Alto,Pouquissimo,Regular,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Superior,Professor,Professor,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,MODERADA,Nao
F,GT3,Sim,Primario,Primario,Outros,Outros,Baixissimo,Poucas,Nao,Nao,Sim,Sim,Sim,Sim,Excelente,Altissimo,Altissimo,Pouquissimo,Pouquissimo,Pessima,BAIXO,SIM
M,GT3,Sim,Superior,Medio,Professor,Servidor,Alto,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Ruim,Pouco,Pouco,Pouquissimo,Pouquissimo,Regular,MODERADA,Nao
F,GT3,Nao,Medio,Medio,Servidor,Servidor,Baixo,Nao,Nao,Nao,Nao,Sim,Nao,Sim,Pessimo,Regular,Pouco,Pouco,Regular,Pessima,ALTiSSIMO,SIM
M,GT3,Sim,Superior,Superior,Servidor,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Regular,Excelente,BAIXO,Nao
M,LE3,Sim,Fundamental,Fundamental,Servidor,Servidor,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Ruim,Regular,Regular,Pouco,Pouco,Ruim,BAIXO,Nao
F,GT3,Sim,Superior,Superior,Professor,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Pouco,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,LE3,Sim,Primario,Primario,Lar,Lar,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Regular,Alto,Alto,Regular,Regular,Pessima,BAIXO,Nao
M,GT3,Sim,Fundamental,Primario,Outros,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Alto,Altissimo,Pouquissimo,Pouco,Excelente,ALTiSSIMO,SIM
F,GT3,Sim,Primario,Primario,Outros,Servidor,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Alto,Pouco,Pouquissimo,Pouco,Excelente,BAIXO,Nao
F,LE3,Nao,Fundamental,Primario,Lar,Outros,Baixissimo,Nao,Nao,Sim,Sim,Nao,Sim,Sim,Bom,Alto,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Medio,Fundamental,SaUde,Servidor,Baixo,Poucas,Nao,Sim,Nao,Sim,Sim,Nao,Regular,Regular,Pouco,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,GT3,Sim,Primario,Fundamental,Lar,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,MODERADA,Nao
F,GT3,Sim,Primario,Fundamental,Lar,Servidor,Baixo,Nao,Nao,Nao,Nao,Sim,Nao,Sim,Ruim,Regular,Alto,Pouco,Alto,Pessima,MODERADA,Nao
M,GT3,Sim,Superior,Superior,Professor,Professor,Baixissimo,Nao,Nao,Sim,Nao,Nao,Sim,Sim,Regular,Regular,Pouco,Pouco,Pouquissimo,Excelente,ALTiSSIMO,SIM
M,LE3,Nao,Fundamental,Primario,Servidor,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Bom,Altissimo,Altissimo,Pouco,Altissimo,Excelente,BAIXO,Nao
M,LE3,Sim,Primario,Primario,Outros,Outros,Baixissimo,Poucas,Nao,Nao,Nao,Nao,Sim,Sim,Ruim,Regular,Altissimo,Pouco,Altissimo,Boa,BAIXO,SIM
M,LE3,Sim,Fundamental,Primario,Lar,Outros,Baixissimo,Poucas,Nao,Nao,Sim,Sim,Nao,Sim,Bom,Alto,Alto,Regular,Altissimo,Excelente,MODERADA,SIM
F,GT3,Sim,Medio,Medio,Servidor,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Pouco,Pouquissimo,Pouco,Regular,Regular,BAIXO,Nao
M,GT3,Sim,Medio,Fundamental,Servidor,Lar,Baixissimo,Nao,Nao,Sim,Nao,Nao,Sim,Sim,Bom,Altissimo,Alto,Pouquissimo,Pouquissimo,Boa,MODERADA,Nao
F,GT3,Sim,Superior,Superior,Outros,Professor,Baixissimo,Nao,Sim,Sim,Nao,Sim,Nao,Sim,Bom,Pouco,Pouquissimo,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,GT3,Sim,Fundamental,Medio,Lar,Servidor,Baixo,Nao,Sim,Nao,Sim,Sim,Nao,Nao,Bom,Alto,Alto,Pouquissimo,Pouquissimo,Pessima,BAIXO,SIM
M,LE3,Sim,Primario,Fundamental,Outros,Outros,Baixissimo,Muitas,Nao,Nao,Nao,Sim,Nao,Nao,Ruim,Pouco,Pouco,Regular,Regular,Excelente,ALTiSSIMO,SIM
F,GT3,Sim,Primario,Primario,Lar,Outros,Baixissimo,Muitas,Nao,Sim,Sim,Sim,Nao,Nao,Excelente,Pouco,Altissimo,Pouquissimo,Altissimo,Boa,MODERADA,Nao
M,GT3,Sim,Fundamental,Fundamental,Lar,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Bom,Pouco,Pouco,Pouquissimo,Pouco,Regular,BAIXO,Nao
M,GT3,Sim,Medio,Medio,Outros,Servidor,Baixo,Poucas,Nao,Sim,Nao,Sim,Sim,Sim,Bom,Altissimo,Altissimo,Alto,Alto,Excelente,BAIXO,SIM
M,LE3,Sim,Primario,Fundamental,SaUde,Servidor,Baixissimo,Poucas,Nao,Nao,Nao,Sim,Sim,Nao,Bom,Alto,Altissimo,Regular,Altissimo,Excelente,BAIXO,SIM
M,LE3,Sim,Fundamental,Primario,Lar,Outros,Baixissimo,Poucas,Nao,Nao,Sim,Nao,Sim,Sim,Regular,Regular,Pouco,Pouco,Pouco,Excelente,MODERADA,SIM
M,GT3,Sim,Medio,Fundamental,Outros,Outros,Baixo,Poucas,Sim,Sim,Nao,Sim,Sim,Sim,Bom,Alto,Alto,Pouquissimo,Alto,Regular,BAIXO,SIM
M,LE3,Sim,Primario,Fundamental,Outros,Outros,Baixissimo,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Bom,Alto,Alto,Pouco,Alto,Excelente,BAIXO,SIM
M,GT3,Sim,Primario,Medio,Lar,Servidor,Baixissimo,Poucas,Nao,Nao,Nao,Nao,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Alto,Ruim,BAIXO,SIM
M,LE3,Sim,Primario,Primario,Outros,Servidor,Baixo,Nao,Nao,Nao,Sim,Nao,Nao,Sim,Excelente,Regular,Altissimo,Pouquissimo,Altissimo,Excelente,BAIXO,SIM
M,GT3,Sim,Medio,Fundamental,Servidor,Servidor,Baixissimo,Muitas,Nao,Sim,Sim,Nao,Nao,Nao,Bom,Altissimo,Pouco,Pouquissimo,Pouquissimo,Ruim,ALTO,SIM
M,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Baixo,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Bom,Regular,Altissimo,Pouco,Alto,Boa,BAIXO,Nao
F,GT3,Sim,Superior,Fundamental,SaUde,Servidor,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Sim,Bom,Pouco,Regular,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Pouquissimo,Altissimo,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
F,GT3,Sim,Superior,Superior,SaUde,SaUde,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Bom,Alto,Pouco,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
M,GT3,Sim,Medio,Superior,Outros,Outros,Baixissimo,Poucas,Nao,Sim,Sim,Sim,Sim,Nao,Regular,Alto,Altissimo,Pouco,Alto,Ruim,BAIXO,SIM
M,GT3,Sim,Primario,Inexistente,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
M,LE3,Sim,Superior,Superior,Professor,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Alto,Alto,Pouquissimo,Regular,Excelente,BAIXO,Nao
F,GT3,Sim,Primario,Medio,Lar,Servidor,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Bom,Regular,Altissimo,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,LE3,Sim,Medio,Medio,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Alto,Altissimo,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,LE3,Sim,Superior,Medio,Professor,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Alto,Alto,Alto,Alto,Boa,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Servidor,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Regular,Alto,Alto,Pouquissimo,Alto,Excelente,BAIXO,Nao
M,GT3,Sim,Medio,Medio,Outros,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Regular,Alto,Pouquissimo,Alto,Boa,BAIXO,Nao
M,GT3,Sim,Superior,Fundamental,Professor,Servidor,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Regular,Regular,Alto,Regular,MODERADA,Nao
M,GT3,Sim,Superior,Medio,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Excelente,Pouco,Regular,Pouquissimo,Pouquissimo,Ruim,BAIXO,Nao
M,GT3,Sim,Superior,Medio,Professor,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Regular,Alto,Regular,Pouco,Regular,Regular,BAIXO,Nao
M,GT3,Sim,Medio,Medio,Servidor,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Bom,Pouco,Regular,Pouquissimo,Pouco,Regular,BAIXO,Nao
F,GT3,Sim,Fundamental,Superior,Servidor,Servidor,Baixo,Nao,Nao,Sim,Sim,Sim,Nao,Nao,Excelente,Alto,Pouco,Pouco,Regular,Excelente,BAIXO,Nao
F,LE3,Sim,Medio,Medio,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Excelente,Regular,Regular,Pouco,Regular,Pessima,ALTiSSIMO,Nao
F,GT3,Sim,Medio,Fundamental,Outros,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Pessimo,Pouco,Pouco,Pouquissimo,Pouco,Pessima,MODERADA,Nao
M,GT3,Sim,Medio,Medio,Servidor,Servidor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Alto,Pouco,Regular,Boa,MODERADA,Nao
M,GT3,Sim,Primario,Fundamental,Servidor,Servidor,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Regular,Regular,Regular,Pouquissimo,Pouco,Regular,BAIXO,Nao
M,LE3,Sim,Fundamental,Primario,Outros,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Bom,Pouco,Regular,Pouquissimo,Pouco,Excelente,BAIXO,Nao
F,GT3,Nao,Medio,Medio,SaUde,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Regular,Regular,Regular,Pouquissimo,Regular,Regular,ALTO,Nao
M,GT3,Sim,Primario,Fundamental,Lar,Outros,Baixo,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Regular,Pouquissimo,Regular,Pouquissimo,Altissimo,Regular,MODERADA,SIM
F,GT3,Sim,Fundamental,Medio,Servidor,Servidor,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Bom,Regular,Regular,Pouquissimo,Pouquissimo,Ruim,MODERADA,Nao
F,GT3,Sim,Primario,Primario,Lar,Servidor,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
M,GT3,Sim,Primario,Fundamental,Lar,Servidor,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Alto,Alto,Alto,Altissimo,Excelente,ALTiSSIMO,Nao
M,GT3,Sim,Medio,Medio,Servidor,Servidor,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Pouco,Regular,Alto,Excelente,BAIXO,Nao
M,GT3,Sim,Fundamental,Medio,Outros,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,LE3,Sim,Fundamental,Superior,Servidor,Servidor,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,MODERADA,Nao
M,GT3,Sim,Superior,Superior,Servidor,Professor,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Excelente,Pouco,Regular,Pouquissimo,Pouco,Excelente,BAIXO,Nao
M,LE3,Sim,Medio,Medio,Professor,Outros,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Regular,Regular,Alto,Regular,Altissimo,Regular,ALTiSSIMO,Nao
F,GT3,Sim,Superior,Superior,Servidor,Professor,Baixissimo,Poucas,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Pouco,Alto,Pouco,Regular,Ruim,ALTiSSIMO,Nao
F,LE3,Sim,Superior,Superior,Professor,Professor,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Altissimo,Pouco,Pouquissimo,Pouco,Regular,BAIXO,Nao
F,GT3,Sim,Superior,Medio,SaUde,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Altissimo,Pouquissimo,Altissimo,Ruim,BAIXO,Nao
F,GT3,Sim,Fundamental,Medio,Outros,Outros,Baixo,Nao,Sim,Sim,Sim,Sim,Nao,Nao,Bom,Alto,Regular,Pouquissimo,Regular,Boa,BAIXO,Nao
F,GT3,Sim,Primario,Primario,Outros,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Bom,Alto,Alto,Pouquissimo,Regular,Pessima,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Regular,Pouco,Pouquissimo,Pouco,Regular,ALTiSSIMO,Nao
F,GT3,Sim,Fundamental,Fundamental,Servidor,Servidor,Alto,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Altissimo,Pouquissimo,Pouquissimo,Excelente,MODERADA,Nao
F,GT3,Sim,Medio,Superior,Lar,Servidor,Medio,Poucas,Nao,Sim,Nao,Sim,Sim,Sim,Bom,Alto,Regular,Regular,Alto,Excelente,ALTiSSIMO,SIM
F,GT3,Nao,Medio,Primario,Servidor,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Ruim,Regular,Regular,Pouco,Pouco,Boa,BAIXO,Nao
F,GT3,Sim,Superior,Medio,Professor,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Pessimo,Regular,Pouco,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
F,GT3,Sim,Primario,Primario,Lar,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Bom,Regular,Pouco,Pouquissimo,Alto,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Medio,Professor,Outros,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Alto,Pouco,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
F,GT3,Sim,Medio,Medio,Outros,Outros,Alto,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Regular,Pouquissimo,Pouco,Regular,BAIXO,Nao
M,LE3,Sim,Superior,Superior,Servidor,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Excelente,Regular,Altissimo,Alto,Altissimo,Regular,ALTiSSIMO,Nao
F,GT3,Nao,Fundamental,Fundamental,Outros,Outros,Baixo,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Regular,Regular,Alto,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,GT3,Sim,Fundamental,Fundamental,Servidor,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Alto,Alto,Pouco,Alto,Excelente,ALTO,Nao
F,LE3,Sim,Superior,Superior,Servidor,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Excelente,Pouco,Pouquissimo,Pouquissimo,Pouco,Regular,MODERADA,Nao
F,LE3,Sim,Medio,Fundamental,Outros,Outros,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Bom,Alto,Alto,Pouquissimo,Regular,Pessima,BAIXO,Nao
F,GT3,Sim,Superior,Medio,Outros,Outros,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Sim,Regular,Alto,Altissimo,Pouco,Alto,Pessima,ALTiSSIMO,Nao
M,LE3,Sim,Medio,Medio,Servidor,SaUde,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Regular,Pouco,Alto,Pouco,Alto,Boa,ALTO,Nao
F,GT3,Sim,Fundamental,Medio,Lar,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Regular,Regular,Regular,Pouquissimo,Alto,Regular,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Lar,Lar,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Regular,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
F,GT3,Sim,Fundamental,Primario,Lar,Servidor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Pouco,Altissimo,Pouquissimo,Pouco,Excelente,BAIXO,Nao
F,GT3,Sim,Primario,Primario,Lar,Outros,Medio,Nao,Nao,Sim,Sim,Sim,Nao,Sim,Bom,Regular,Alto,Pouquissimo,Pouquissimo,Excelente,ALTO,Nao
F,GT3,Sim,Fundamental,Medio,Servidor,Professor,Baixo,Nao,Sim,Nao,Nao,Sim,Sim,Nao,Ruim,Regular,Pouquissimo,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
M,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Baixo,Muitas,Nao,Sim,Nao,Sim,Sim,Nao,Regular,Regular,Regular,Altissimo,Altissimo,Boa,ALTO,SIM
F,GT3,Sim,Superior,Superior,Professor,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Medio,Primario,Outros,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Boa,BAIXO,SIM
F,GT3,Sim,Medio,Fundamental,Outros,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Excelente,Regular,Alto,Pouquissimo,Regular,Regular,BAIXO,Nao
M,LE3,Sim,Fundamental,Medio,Servidor,Servidor,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Regular,Regular,BAIXO,Nao
M,LE3,Sim,Fundamental,Primario,Lar,Outros,Baixo,Nao,Sim,Sim,Sim,Sim,Sim,Sim,Bom,Regular,Pouco,Alto,Altissimo,Regular,BAIXO,Nao
F,GT3,Nao,Fundamental,Primario,Outros,Outros,Medio,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Regular,Pouco,Regular,Pouquissimo,Pouco,Regular,BAIXO,Nao
F,LE3,Sim,Superior,Medio,SaUde,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Regular,Pouco,Regular,Pouquissimo,Pouco,Regular,BAIXO,Nao
